,Posisi,Nama Perusahaan,Lokasi Magang,Kuota,Tunjangan,Program Studi,Hari Libur,URL
16627,IT & Digitization Intern,PT. Graha Sarana Duta,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-&-digitization-intern-a2416cdc-0fd3-4b77-ad15-b98865751556
16639,Digital Transformation & Data Analytics Intern,PT. Graha Sarana Duta,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/digital-transformation-&-data-analytics-intern-a24125d8-2829-4591-b094-1dc2fef6eb96
16648,IT Process Improvement,PT Grab Teknologi Indonesia,Kota Adm. Jakarta Selatan,1 kuota,,"Informatika, Ilmu Komputer, Teknik Elektro, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-process-improvement-a243b6ca-bccb-4f96-af62-8d3ada1dc41b
16652,"Software Engineer, Fullstack",PT Grab Teknologi Indonesia,Kota Adm. Jakarta Selatan,1 kuota,,"Ilmu Komputer, Teknologi Komputer, Sistem Informasi, Ilmu Informatika, Teknik Komputer","Sabtu, Minggu","https://maganghub.kemnaker.go.id/magang-nasional/lowongan/software-engineer,-fullstack-a2419425-8091-42f4-93d1-d5b2ad8f7682"
16656,Tech Engineering,PT Grab Teknologi Indonesia,Kota Adm. Jakarta Selatan,1 kuota,,"Ilmu Komputer, Teknologi Komputer, Sistem Informasi, Ilmu Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/tech-engineering-a2398124-0dfd-4cb9-ba73-8dc11f974eea
16663,Admin F&B,PT. Gorontalo Wisata Mandiri,Kota Gorontalo,1 kuota,,"Ilmu Komputer, Administrasi, Teknik Sipil, Ilmu Administrasi Bisnis, Akuntansi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/admin-f&b-a231460d-7ff5-44a7-b119-67c9079a5225
16705,Marcomm,Logikreasi Utama,Kota Medan,1 kuota,,"Ilmu Komputer, Sistem Komputer, Teknologi Komputer, Teknik Komputer Dan Jaringan, Teknik Komputer",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/marcomm-a23163d5-2466-468c-b022-f42bc4d530b1
16711,Data Warehouse Intern,PT Global Tiket Network,Kota Adm. Jakarta Barat,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Sains Data Terapan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-warehouse-intern-a2418f43-13fe-48d0-bda3-97c92f9aab9f
16714,DevOps Intern,PT Global Tiket Network,Kota Adm. Jakarta Barat,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/devops-intern-a2425544-dbd0-49a1-8516-729cafce37f4
16716,Data Engineer Intern,PT Global Tiket Network,Kota Adm. Jakarta Barat,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Sains Data Terapan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-engineer-intern-a2418db2-200b-4211-a48d-fb077d2d844f
16717,Business Intelligence Intern,PT Global Tiket Network,Kota Adm. Jakarta Barat,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Sains Data Terapan, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/business-intelligence-intern-a2404960-cc05-445e-9fd1-19c5b099564c
16718,Software Engineer (Backend) Intern,PT Global Tiket Network,Kota Adm. Jakarta Barat,10 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Dan Teknologi Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/software-engineer-backend-intern-a240431c-367d-4500-a702-7c257af53697
16720,UX Researcher Intern,PT Global Tiket Network,Kota Adm. Jakarta Barat,3 kuota,,"Antropologi, Ilmu Komputer, Psikologi, Sosiologi, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/ux-researcher-intern-a23757d5-c07f-4d65-b52b-e9f324af5def
16775,IT Support Associate,PT. Gayawahana Inti,Kota Adm. Jakarta Pusat,2 kuota,,"Ilmu Komputer, Sistem dan Teknologi Informasi, Sistem informasi, Ilmu Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-associate-a22953e3-6e21-4ca6-bc75-068b45addc32
16776,IT Support Associate,PT. Gayawahana Inti,Kota Adm. Jakarta Pusat,2 kuota,,"Ilmu Komputer, Sistem dan Teknologi Informasi, Sistem informasi, Ilmu Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-associate-a22953e3-6e21-4ca6-bc75-068b45addc32
16798,Internship – Fullstack Web Developer (PHP & Laravel),Lingkar Kreatif Solusi,Kota Medan,1 kuota,,"Teknik Informatika, Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/internship-–-fullstack-web-developer-php-&-laravel-a22b1ff1-b186-4a54-8cb7-b66c06e73437
16826,JKTOS. Operation Technology Intern,PT. Garuda Indonesia (Persero) Tbk,Kota Tangerang,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/jktos.-operation-technology-intern-a2290738-e563-4c22-ae0d-110fa9a55350
16853,JKTDX. IT Intern,PT. Garuda Indonesia (Persero) Tbk,Kota Tangerang,4 kuota,,"Teknologi Informasi, Teknologi rekayasa Perangkat Lunak, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/jktdx.-it-intern-a227436f-69ba-4c58-a7c9-b6a2af6e62ea
16858,JKTID. Human Capital IT System Intern,PT. Garuda Indonesia (Persero) Tbk,Kota Tangerang,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/jktid.-human-capital-it-system-intern-a2271f5f-9564-4ea8-a43b-2afcd0f68e43
16877,IT Developer (Fullstack),Leon Boga Sentosa,Kota Adm. Jakarta Utara,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-developer-fullstack-a2433b1c-1844-428d-9ba5-ea4e25e5031a
16905,Web Developer (HCS Departement),PT. Garudafood Putra Putri Jaya Tbk - Sumedang,Kab. Sumedang,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/web-developer-hcs-departement-a2377403-3b7f-4a02-877c-80e4934422ca
16940,Support Data analyst,Telkom Satelit Indonesia,Kota Bogor,1 kuota,,"Ilmu Komputer, Statistika dan Sains Data, Teknik informatika, Sistem informasi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/support-data-analyst-a2378372-86ec-40e2-8500-d16ca67b6887
16967,Data Scientist - ROPM,Telkom Regional III - Witel Bandung,Kota Bandung,1 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-scientist---ropm-a2438c8b-3275-4ef4-99c9-ea69bb27eca1
16969,Information Communication Technology (ICT) Staff,PT Mulia Pratama Cemerlang,Kota Bekasi,1 kuota,,"Ilmu Komputer, Manajemen Informasi Komunikasi, Pendidikan Sistem dan Teknologi Informasi, Sistem Informasi, Ilmu Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/information-communication-technology-ict-staff-a23e1b04-1897-4b28-aa07-3a5efff04a11
16992,Fullstack Developer,Language Center,Kab. Kediri,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/fullstack-developer-a24143b5-28e3-44d6-a75f-461e665dffc2
16998,Web Master,Language Center,Kab. Kediri,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Pemasaran Digital",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/web-master-a2414a32-7911-46a8-a26a-799bce3c3827
17032,Technical Analyst Intern,PT Executrain Nusantarajaya,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Komputer, Sistem Informasi, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/technical-analyst-intern-a240efe8-3097-47b6-baa0-4bcf864f82d4
17035,Junior IT Trainer Intern,PT Executrain Nusantarajaya,Kota Adm. Jakarta Selatan,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/junior-it-trainer-intern-a23f4382-1b81-465c-b25f-5ea23e6596ee
17050,Airport Security,PT Angkasa Pura Indonesia Bandar Udara Internasional Yogyakarta,Kota Yogyakarta,2 kuota,Airport Security,"Teknik Informatika, Ilmu Komputer, Pendidikan Bahasa Inggris","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/airport-security-a240cdf5-2958-4ff3-91e3-9bf2371257bb
17063,Airport Technology Department,PT Angkasa Pura Indonesia Bandar Udara Internasional Jenderal Ahmad Yani Semarang,Kota Semarang,2 kuota,Airport Technology Department,"Teknik Informatika, Ilmu Komputer, Sistem Dan Teknologi Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/airport-technology-department-a23f7f69-7e19-43a6-9467-618d62f4adfe
17090,Intern - Costing and Profitability,Telekomunikasi Selular,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/intern---costing-and-profitability-a243b3c0-53d7-4f34-bd6e-234b2fbd533d
17100,Intern - Costing and Profitability,Telekomunikasi Selular,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/intern---costing-and-profitability-a243b3c0-53d7-4f34-bd6e-234b2fbd533d
17106,Intern - Mobile Product Planning & Research,Telekomunikasi Selular,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi, Teknik Telekomunikasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/intern---mobile-product-planning-&-research-a243ae82-107c-4072-841a-fe3df6c5c7f6
17112,Intern - MyTelkomsel Innovation Enablement,Telekomunikasi Selular,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik Industri","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/intern---mytelkomsel-innovation-enablement-a243a9a4-198a-4a02-a652-4d9e3499d93a
17120,Intern - SIMPATI Growth Hack Analysis and Strategic Partnership,Telekomunikasi Selular,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik Industri, Teknik Elektro, Teknik Telekomunikasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/intern---simpati-growth-hack-analysis-and-strategic-partnership-a2439e7c-dce2-43a1-898d-cc2bd5381f3d
17146,Perancangan dan Kelayakan Sistem Aplikasi Internship,Bank Bca Syariah,Kota Adm. Jakarta Timur,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/perancangan-dan-kelayakan-sistem-aplikasi-internship-a2435348-907e-44f6-814f-30dc64cb64b0
17200,Fullstack Developer (Web & Mobile) Divisi Produk GIS Development,Techno Gis Indonesia,Kab. Sleman,2 kuota,,"Informatika, Ilmu Komputer, Teknik informatika, Pendidikan Teknik Informatika & Komputer, Teknologi Informatika Multimedia Digital","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/fullstack-developer-web-&-mobile-divisi-produk-gis-development-a2420105-83e1-4437-8b93-9334c2c6a581
17274,IT Operations,PT Emados Kebab Indonesia,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-operations-a240e89c-61e5-4826-a806-40ff5b19729e
17327,Internship Software Development,PT Eltran Indonesia,Kota Bandung,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/internship-software-development-a23f5174-8d4b-4b85-9def-86c5040ad5bd
17443,Administration,Tdm Muara Sabak,Kab. Tanjung Jabung Timur,1 kuota,,"Ilmu Komputer, Manajemen, Administrasi, Ekonomi, Akuntansi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/administration-a23f39e4-732b-4a9d-b1e7-416bf58997c6
17468,IT Support Intern,Krakatau Argo Logistics,Kota Cilegon,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi, Teknik Komputer Dan Jaringan, Teknik Komputer","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-intern-a243ab8c-2a00-48ec-b877-e864009e6278
17513,HR Support,PT Dynatech International,Kota Adm. Jakarta Barat,1 kuota,,"Ilmu Komputer, Manajemen Sumber Daya Manusia, Manajemen, Psikologi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/hr-support-a24183c8-5371-4dd3-b729-b913ef19437a
17514,HR Support,PT Dynatech International,Kota Adm. Jakarta Barat,1 kuota,,"Ilmu Komputer, Manajemen Sumber Daya Manusia, Manajemen, Psikologi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/hr-support-a24183c8-5371-4dd3-b729-b913ef19437a
17560,"IT GOVERNANCE, IAM & CAB ADMINISTRATION INTERN",Axa Mandiri Financial Services,Kota Adm. Jakarta Selatan,1 kuota,,"Ilmu Komputer, Sistem Informasi, Ilmu Informatika, Teknik Komputer","Sabtu, Minggu","https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-governance,-iam-&-cab-administration-intern-a23fa9a6-73ec-4e58-8e22-df3a7d49fde0"
17561,Test Engineer Intern,Axa Mandiri Financial Services,Kota Adm. Jakarta Selatan,1 kuota,,"Teknologi Informasi, Ilmu Komputer, Sistem Dan Teknologi Informasi, Sistem dan Teknologi Informasi, Teknik Komputer Dan Jaringan","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/test-engineer-intern-a23faa27-8e4c-4ebe-81ba-dd4091eeb330
17571,IT Data Analyst,PT. Duta Graha Afiah,Kota Bogor,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-data-analyst-a23b47d1-ec06-4839-88ec-4d7858c6fca4
17582,"INCIDENT, PROBLEM & CHANGES MANGEMENT INTERN",Axa Mandiri Financial Services,Kota Adm. Jakarta Selatan,1 kuota,,"Ilmu Komputer, Manajemen Aset, Manajemen Administrasi, Sistem Informasi, Teknik informatika","Sabtu, Minggu","https://maganghub.kemnaker.go.id/magang-nasional/lowongan/incident,-problem-&-changes-mangement-intern-a23f93e0-c644-4490-9057-6e88aa44ddc0"
17590,DATA GOVERNANCE INTERN,Axa Mandiri Financial Services,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-governance-intern-a23fa298-d58a-4095-9f4e-21aa6083a881
17593,"INCIDENT, PROBLEM & CHANGES MANGEMENT INTERN",Axa Mandiri Financial Services,Kota Adm. Jakarta Selatan,1 kuota,,"Ilmu Komputer, Manajemen Aset, Manajemen Administrasi, Sistem Informasi, Teknik informatika","Sabtu, Minggu","https://maganghub.kemnaker.go.id/magang-nasional/lowongan/incident,-problem-&-changes-mangement-intern-a23f93e0-c644-4490-9057-6e88aa44ddc0"
17596,IT Support,PT. Duta Graha Afiah,Kota Bogor,1 kuota,,"Teknik Informatika, Ilmu Komputer, Administrasi Server dan Jaringan Komputer, Pemeliharaan Komputer dan Jaringan, Teknik Komputer dan Jaringan",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-a23eed02-5db9-447a-b707-31ff2136b08c
17597,TECHNICAL WRITER INTERN (DATABASES),Axa Mandiri Financial Services,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Ilmu Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/technical-writer-intern-databases-a23fa176-0f70-4b84-8780-ea5b16379f47
17600,IT Support SIMRS,PT. Duta Graha Afiah,Kota Bogor,2 kuota,,"Teknik Informatika, Ilmu Komputer, Manajemen Informatika, Teknik Komputer dan Jaringan, Teknik Komputer",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-simrs-a23ad4d0-5fb7-4e66-9aea-954cddf5672a
17646,IT Full Stack Web Developer,PT. Duta Graha Afiah,Kota Bogor,4 kuota,,"Teknik Informatika, Teknologi Rekayasa Perangkat Lunak, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-full-stack-web-developer-a23abe4f-a8ee-4107-b87f-07f52b06efe8
17824,Software Engineer Intern,Auto Serba Digital,Kota Surabaya,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/software-engineer-intern-a2294b4e-c6e1-4ab9-9523-856d801f309f
17888,"Dept. QA, Perencanaan & Pelaporan",Pupuk Iskandar Muda,Kab. Aceh Utara,1 kuota,,"Ilmu Komputer, Teknika, Manajemen, Akuntansi, Teknik Komputer","Sabtu, Minggu","https://maganghub.kemnaker.go.id/magang-nasional/lowongan/dept.-qa,-perencanaan-&-pelaporan-a23edab5-a094-4255-b2de-dfda4d387ade"
17949,Informasi Teknologi (IT) Governance,Kimia Farma Trading & Distribution,Kota Adm. Jakarta Pusat,1 kuota,,"Ilmu Komputer, Sistem Informasi, Ilmu Informatika","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/informasi-teknologi-it-governance-a2293334-d4ef-49c0-8ea7-229dedd3108b
18102,Off Air Promotion,PT Mdtv Media Televisi,Kota Adm. Jakarta Selatan,2 kuota,,"Multimedia, Ilmu Komputer, Hubungan Masyarakat, Pemasaran Digital, Desain Komunikasi Visual","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/off-air-promotion-a23735a1-5c9d-47fe-b40f-c2ac70790e58
18120,Frontend Developer,PT. Datascrip,Kota Adm. Jakarta Pusat,2 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknologi Komputer, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/frontend-developer-a23f42ff-b2e4-4fc3-893c-ed0af2d3e317
18122,Backend Developer,PT. Datascrip,Kota Adm. Jakarta Pusat,2 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknologi Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/backend-developer-a23f4ed2-cd35-4d8a-9e9a-be1af4fc9ff7
18126,Frontend Developer,PT. Datascrip,Kota Adm. Jakarta Pusat,2 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknologi Komputer, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/frontend-developer-a23f42ff-b2e4-4fc3-893c-ed0af2d3e317
18127,Backend Developer,PT. Datascrip,Kota Adm. Jakarta Pusat,2 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknologi Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/backend-developer-a23f4ed2-cd35-4d8a-9e9a-be1af4fc9ff7
18148,Software Developer Staff,Autochem Industry,Kota Tangerang,2 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/software-developer-staff-a236bd3c-591e-4aaf-bc0c-11f1d36e658a
18150,Data Science Staff,Autochem Industry,Kota Tangerang,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-science-staff-a236aa5f-c207-40b3-97c8-d4c261cd2ffa
18152,UI/UX Design Staff,Autochem Industry,Kota Tangerang,1 kuota,,"Ilmu Komputer, Sistem Informasi, Desain Komunikasi Visual","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/uiux-design-staff-a236b620-c20c-471d-8f51-e4cf9f3085bc
18153,Digital Marketing Staff,Autochem Industry,Kota Tangerang,1 kuota,,"Ilmu Komputer, Pemasaran Digital, Manajemen Bisnis, Komunikasi Digital dan Media","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/digital-marketing-staff-a236b0ae-50ba-4d03-a890-b27a74cb7316
18170,General Affair,PT Maxxis International Indonesia,Kab. Bekasi,1 kuota,,"Teknik Industri, Ilmu Komputer, Pendidikan Teknik Mesin, Ilmu Komunikasi, Administrasi Perkantoran","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/general-affair-a23f37de-b078-448d-b3ff-ae5b8deb4c8f
18198,HR Intern,PT. Daihatsu Drivetrain Manufacturing Indonesia,Kab. Karawang,1 kuota,,"Teknik Informatika, Ilmu Komputer, Komputer Grafis, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/hr-intern-a2430357-a0e0-43b5-9aba-11db328c6c9b
18252,IT SAP Functional Intern,Surya Citra Televisi,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-sap-functional-intern-a2439332-036c-44a0-8ccb-46cfda259934
18255,IT Help Desk Support Intern,Surya Citra Televisi,Kota Adm. Jakarta Barat,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-help-desk-support-intern-a2439ac1-4b1f-4ec0-b46e-fadd34999d4a
18263,IT AI Engineer Intern,Surya Citra Televisi,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-ai-engineer-intern-a2439883-979f-4fde-a72c-e4f2b231f269
18264,Web Developer Intern,Surya Citra Televisi,Kota Adm. Jakarta Pusat,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/web-developer-intern-a2439dff-96da-4815-8f0d-b261fedd906e
18318,HSE Administration Assistance,PT Corinthian Industries Indonesia,Kab. Bogor,1 kuota,,"Kesehatan dan Keselamatan Kerja, Ilmu Komputer, Manajemen, Ilmu Kesehatan Masyarakat, Sistem Informasi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/hse-administration-assistance-a23982d2-f021-4f7a-a00d-f7035f6e2881
18392,Data Scientist - 1,Suri Nusantara Jaya,Kota Adm. Jakarta Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Sistem Informasi, Statistika",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-scientist---1-a23d317a-0104-40cd-b3f5-431853526cbf
18400,Data Scientist - 2,Suri Nusantara Jaya,Kota Adm. Jakarta Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Sistem Informasi, Statistika",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-scientist---2-a23d3215-56b1-4a06-bdd8-0068c66aca77
18401,Data Scientist - 1,Suri Nusantara Jaya,Kota Adm. Jakarta Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Sistem Informasi, Statistika",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-scientist---1-a23d317a-0104-40cd-b3f5-431853526cbf
18434,Data Analyst,PT. Commeasure Solutions Indonesia,Kota Adm. Jakarta Selatan,4 kuota,,"Teknik Informatika, Ilmu Komputer, Statistik, Statistika Bisnis, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-analyst-a2321994-afdc-4ab9-8d0b-00a75fc549fe
18501,Staff EDP,PT Classic Prima Carpet Industries,Kota Surabaya,1 kuota,PT Classic Prima Carpet Industries,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staff-edp-a22b2abb-6db9-4e34-a988-1dc83e5015dc
18506,Staff EDP,PT Classic Prima Carpet Industries,Kota Surabaya,1 kuota,PT Classic Prima Carpet Industries,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staff-edp-a22b2abb-6db9-4e34-a988-1dc83e5015dc
18607,IT Support,Kamantra Bangun Persada,Kab. Mamuju,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Teknik Komputer Dan Jaringan, Teknik Komputer",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-a2374b52-5a6b-4d75-8ee0-dc05e7f0374d
18609,STEAM – Product Design,PT Cerebrum Edukanesia Nusantara,Kab. Bandung,1 kuota,,"Ilmu Komputer, Teknologi Pendidikan, Sistem Informasi, Desain Komunikasi Visual","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/steam-–-product-design-a23efba1-8a42-4782-bffc-adb402d68b32
18614,STEAM – Product Design,PT Cerebrum Edukanesia Nusantara,Kab. Bandung,1 kuota,,"Ilmu Komputer, Teknologi Pendidikan, Sistem Informasi, Desain Komunikasi Visual","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/steam-–-product-design-a23efba1-8a42-4782-bffc-adb402d68b32
